Date,Open Price,High Price,Low Price,Last Price,Adj. Close,nothing
10/1/2014,17.01,18.709999,16.01,16.01,16.01,24800200
10/2/2014,16.25,16.379999,14.5,14.7,14.7,6265700
10/3/2014,15.3,15.3,13.52,13.75,13.75,3092300
10/6/2014,13.75,14,12,13.05,13.05,3151400
10/7/2014,12.95,14.65,12.77,13.93,13.93,2101800
10/8/2014,14.34,14.74,13.6,13.77,13.77,1169300
10/9/2014,13.65,14,12.24,12.37,12.37,1482000
10/10/2014,12.37,12.82,11.56,11.83,11.83,1124100
10/13/2014,11.62,12.5,11,11.09,11.09,851400
10/14/2014,11.1,11.45,10.56,10.78,10.78,1047700
10/15/2014,10.7,10.7,9.66,10.47,10.47,1348700
10/16/2014,10,11.99,9.94,11.88,11.88,770700
10/17/2014,12.32,13.68,12.26,12.61,12.61,1008700
10/20/2014,12.48,12.94,12.12,12.53,12.53,482000
10/21/2014,12.81,13.68,12.56,13.66,13.66,537800
10/22/2014,13.97,13.97,13.1,13.16,13.16,554800
10/23/2014,13.49,13.547,12.876,13.07,13.07,325200
10/24/2014,13.01,13.83,13.01,13.64,13.64,343900
10/27/2014,14.1,14.7,13.6,13.74,13.74,906800
10/28/2014,13.66,14.14,13.65,14.03,14.03,375200
10/29/2014,14.21,14.21,13.57,13.72,13.72,233700
10/30/2014,14.04,14.19,13.61,13.75,13.75,351900
10/31/2014,13.99,14.35,13.71,14.08,14.08,645800
11/3/2014,14.05,15.45,13.99,14.96,14.96,1023500
11/4/2014,14.88,15.3,14.54,14.96,14.96,629300
11/5/2014,15.1,15.14,13.64,14.12,14.12,906400
11/6/2014,14.09,14.48,13.74,14.18,14.18,466400
11/7/2014,14,14.26,13.86,14.24,14.24,430400
11/10/2014,14.21,15,14.2,14.74,14.74,927000
11/11/2014,13,13,11.18,11.42,11.42,4273500
11/12/2014,11.67,12.4,11.56,12.33,12.33,1522000
11/13/2014,12.48,12.57,11.6,11.7,11.7,828600
11/14/2014,11.91,12.19,11.78,11.93,11.93,650800
11/17/2014,11.9,12,11.31,11.37,11.37,693700
11/18/2014,11.3,11.76,11.22,11.25,11.25,621200
11/19/2014,11.18,11.34,10.65,10.71,10.71,748600
11/20/2014,10.6,11.13,10.52,10.75,10.75,616900
11/21/2014,10.99,11.04,10.75,10.87,10.87,527200
11/24/2014,10.94,10.953,10.57,10.66,10.66,548100
11/25/2014,10.67,10.84,10.58,10.67,10.67,779000
11/26/2014,10.7,10.7,10.15,10.19,10.19,838600
11/28/2014,10.01,10.1,9.76,10.1,10.1,492800
12/1/2014,10.02,10.091,9.02,9.03,9.03,1061200
12/2/2014,9.16,9.35,8.01,8.48,8.48,1838800
12/3/2014,8.75,9.56,8.64,9.45,9.45,1108800
12/4/2014,9.25,9.47,9,9.27,9.27,433600
12/5/2014,9.27,10.15,9.27,10.03,10.03,889600
12/8/2014,10,10.02,9.03,9.12,9.12,776600
12/9/2014,8.85,9.2,8.5,9.14,9.14,594800
12/10/2014,9.04,9.054,8.5,8.6,8.6,717500
12/11/2014,8.7,8.73,7.97,8,8,1279100
12/12/2014,7.93,8.39,7.42,8.08,8.08,1530900
12/15/2014,8.59,8.9,8.16,8.19,8.19,1265400
12/16/2014,8.1,8.85,8.04,8.15,8.15,1345400
12/17/2014,8.2,8.83,7.9,8.82,8.82,1422400
12/18/2014,9.02,9.48,8.77,9.45,9.45,1993800
12/19/2014,9.45,9.499,9.1,9.31,9.31,3955600
12/22/2014,9.33,9.5,8.86,8.96,8.96,776300
12/23/2014,8.98,9.03,8.51,8.79,8.79,684300
12/24/2014,8.84,9,8.78,8.97,8.97,200600
12/26/2014,9.09,9.48,8.98,9.45,9.45,825900
12/29/2014,9.35,9.68,9.31,9.52,9.52,827200
12/30/2014,9.48,9.57,9.4,9.48,9.48,1186900
12/31/2014,9.42,9.45,9.09,9.22,9.22,679400
1/2/2015,9.22,9.32,8.81,9.24,9.24,619000
1/5/2015,9.05,9.12,8.72,8.75,8.75,901700
1/6/2015,8.75,8.883,8.231,8.49,8.49,750100
1/7/2015,8.57,8.59,8.03,8.16,8.16,848000
1/8/2015,8.24,8.32,8.09,8.3,8.3,527900
1/9/2015,8.32,8.59,8.26,8.51,8.51,326700
1/12/2015,8.49,8.55,8.02,8.34,8.34,603900
1/13/2015,8.5,9.35,8.376,9.24,9.24,1129100
1/14/2015,9.03,9.48,8.98,9.37,9.37,756600
1/15/2015,9.38,9.478,8.51,8.54,8.54,563300
1/16/2015,8.54,8.66,8.3,8.48,8.48,498300
1/20/2015,8.5,8.5,8.13,8.25,8.25,484400
1/21/2015,8.19,8.25,8.05,8.18,8.18,543500
1/22/2015,8.18,8.21,8.07,8.2,8.2,427500
1/23/2015,8.21,8.21,8.05,8.1,8.1,359400
1/26/2015,8.13,8.38,8.05,8.36,8.36,791600
1/27/2015,8.22,8.34,8.12,8.18,8.18,495500
1/28/2015,8.25,8.31,8.09,8.11,8.11,369800
1/29/2015,8.13,8.2,7.7,8.18,8.18,536500
1/30/2015,8.17,8.21,7.89,7.94,7.94,414600
2/2/2015,7.99,8.37,7.96,8.26,8.26,587500
2/3/2015,8.35,9.08,8.35,8.96,8.96,920200
2/4/2015,8.9,9,8.29,8.31,8.31,762000
2/5/2015,8.39,8.49,8.22,8.25,8.25,497400
2/6/2015,8.3,8.45,8.15,8.19,8.19,556400
2/9/2015,8.2,8.4,8.197,8.3,8.3,428700
2/10/2015,8.42,8.47,8.14,8.2,8.2,388200
2/11/2015,8.23,8.249,8.01,8.04,8.04,744400
2/12/2015,8.14,8.4,8.1,8.33,8.33,689700
2/13/2015,8.39,8.45,8.15,8.39,8.39,461000
